shape_id,begin,end
2-T5-sj2-9.20.H,"1","660"
2-T5-sj2-9.2.R,"1","468"
2-T5-sj2-9.19.H,"1","659"
2-T5-sj2-9.18.H,"1","572"
2-T5-sj2-9.16.H,"1","839"
2-T5-sj2-9.15.H,"1","843"
22-819-sj2-1.4.R,"1","212"
22-819-sj2-1.3.R,"1","303"
22-819-sj2-1.2.R,"1","204"
22-819-sj2-1.1.R,"1","574"
2-T3-sj2-9.93.R,"1","551"
2-T3-sj2-9.92.H,"1","649"
22-819-sj2-1.5.R,"1","158"
22-806-sj2-1.11.H,"1","212"
22-806-sj2-1.10.R,"1","213"
22-806-sj2-1.1.H,"1","957"
1-32T-8-sj2-1.1.R,"1","1123"
22-805-sj2-1.9.H,"1","271"
22-805-sj2-1.8.H,"1","270"
38-901-sj2-1.11.R,"1","582"
22-805-sj2-1.7.R,"1","726"
38-901-sj2-1.10.R,"1","557"
1-31T-8-sj2-1.2.R,"1","927"
38-901-sj2-1.1.R,"1","584"
1-31T-8-sj2-1.1.H,"1","1022"
22-805-sj2-1.5.H,"1","742"
22-806-sj2-1.6.H,"1","1007"
22-806-sj2-1.3.R,"1","977"
38-901-sj2-1.19.H,"1","734"
22-806-sj2-1.2.H,"1","445"
38-901-sj2-1.18.H,"1","599"
38-901-sj2-1.17.H,"1","513"
38-901-sj2-1.16.H,"1","627"
22-808-sj2-1.1.R,"1","807"
38-901-sj2-1.15.H,"1","737"
22-807-sj2-1.5.H,"1","537"
38-901-sj2-1.14.R,"1","558"
1-32T-8-sj2-1.2.H,"1","1106"
22-807-sj2-1.4.H,"1","607"
38-901-sj2-1.13.H,"1","461"
22-807-sj2-1.3.H,"1","122"
38-901-sj2-1.12.R,"1","417"
22-807-sj2-1.2.R,"1","544"
38-901-sj2-1.8.R,"1","454"
22-807-sj2-1.1.R,"1","614"
38-901-sj2-1.7.R,"1","579"
38-901-sj2-1.6.R,"1","601"
22-806-sj2-1.8.H,"1","211"
38-901-sj2-1.5.R,"1","593"
22-808-sj2-1.7.R,"1","872"
38-901-sj2-1.4.R,"1","573"
22-808-sj2-1.6.H,"1","225"
38-901-sj2-1.3.R,"1","471"
38-901-sj2-1.20.H,"1","625"
22-808-sj2-1.4.H,"1","810"
38-901-sj2-1.2.H,"1","734"
38-902-sj2-1.7.R,"1","575"
22-808-sj2-1.2.H,"1","809"
38-902-sj2-1.6.R,"1","256"
22-808-sj2-1.11.H,"1","224"
38-902-sj2-1.5.R,"1","234"
22-808-sj2-1.10.H,"1","482"
38-902-sj2-1.4.H,"1","373"
38-902-sj2-1.3.R,"1","354"
38-902-sj2-1.2.R,"1","189"
38-902-sj2-1.1.R,"1","375"
38-901-sj2-1.9.R,"1","357"
22-808-sj2-1.8.H,"1","828"
2-T5-sj2-9.9.H,"1","663"
2-T5-sj2-9.81.R,"1","832"
2-T8-sj2-9.12.R,"1","605"
2-T8-sj2-9.11.H,"1","726"
2-T8-sj2-9.10.H,"1","695"
2-T8-sj2-9.1.H,"1","709"
22-908-5-sj2-1.1.R,"1","375"
22-908-1-sj2-1.1.R,"1","672"
2-T8-sj2-9.19.R,"1","596"
2-T8-sj2-9.18.R,"1","595"
2-T8-sj2-9.17.R,"1","619"
2-T8-sj2-9.16.H,"1","704"
