locality,Jobs,cutoff,X,T_freq,L_freq
WARWICK FARM,193974.47777557603,45,3,0.0,3.0
WATTLE GROVE,14862.9152606396,45,3,0.0,3.0
CHIPPING NORTON,116135.34412770801,45,3,0.0,3.0
HOLSWORTHY,52016.2211726965,45,3,0.0,3.0
HAMMONDVILLE,15473.739971000501,45,3,0.0,3.0
MOUNT PRITCHARD,153026.25,45,3,0.0,3.0
PRESTONS,125466.72004487699,45,3,0.0,3.0
VOYAGER POINT,20363.8048498845,45,3,0.0,3.0
PLEASURE POINT,5597.01978417266,45,3,0.0,3.0
WEST HOXTON,145551.25582887698,45,3,0.0,3.0
CECIL HILLS,46100.8577069096,45,3,0.0,3.0
HOXTON PARK,170701.530342479,45,3,0.0,3.0
HINCHINBROOK,142284.833652924,45,3,0.0,3.0
GREEN VALLEY,109394.504389816,45,3,0.0,3.0
HORNINGSEA PARK,96112.0901792882,45,3,0.0,3.0
MIDDLETON GRANGE,174785.77292844802,45,3,0.0,3.0
DENHAM COURT,3049.6751054852302,45,3,0.0,3.0
EDMONDSON PARK,81064.3661333043,45,3,0.0,3.0
LUDDENHAM,8610.50629370629,45,3,0.0,3.0
CARNES HILL,132277.516781411,45,3,0.0,3.0
ELIZABETH HILLS,56309.551388388,45,3,0.0,3.0
CECIL PARK,323.0,45,3,0.0,3.0
LEN WATERS ESTATE,,45,3,0.0,3.0
LEPPINGTON,28457.658627087203,45,3,0.0,3.0
BRINGELLY,65861.4864039759,45,3,0.0,3.0
GREENDALE,912.416666666667,45,3,0.0,3.0
BADGERYS CREEK,180487.899749373,45,3,0.0,3.0
KEMPS CREEK,208267.21974830603,45,3,0.0,3.0
WALLACIA,1354.30265486726,45,3,0.0,3.0
AUSTRAL,206718.669100165,45,3,0.0,3.0
ROSSMORE,186524.53690050897,45,3,0.0,3.0
SILVERDALE,137.551724137931,45,3,0.0,3.0
BUSBY,464907.43065371,60,3,0.0,3.0
MILLER,511817.569318384,60,3,0.0,3.0
CASULA,420031.062960398,60,3,0.0,3.0
CARTWRIGHT,1138113.82921431,60,3,0.0,3.0
HECKENBERG,356508.448253968,60,3,0.0,3.0
SADLEIR,294526.33404515,60,3,0.0,3.0
LURNEA,613856.969092503,60,3,0.0,3.0
ASHCROFT,250257.088495575,60,3,0.0,3.0
LIVERPOOL,1012367.42284178,60,3,0.0,3.0
MOOREBANK,913232.037187206,60,3,0.0,3.0
WARWICK FARM,855586.3280496659,60,3,0.0,3.0
WATTLE GROVE,108288.911357341,60,3,0.0,3.0
CHIPPING NORTON,569869.6708095779,60,3,0.0,3.0
HOLSWORTHY,393380.30511495296,60,3,0.0,3.0
HAMMONDVILLE,100895.87844369301,60,3,0.0,3.0
MOUNT PRITCHARD,575523.789855073,60,3,0.0,3.0
PRESTONS,330206.26903515303,60,3,0.0,3.0
VOYAGER POINT,276492.201501155,60,3,0.0,3.0
PLEASURE POINT,88691.821942446,60,3,0.0,3.0
WEST HOXTON,331693.87679144397,60,3,0.0,3.0
CECIL HILLS,227383.937129841,60,3,0.0,3.0
HOXTON PARK,418834.236531144,60,3,0.0,3.0
HINCHINBROOK,399851.191179291,60,3,0.0,3.0
