shape_pt_node,shape_pt_seq,route_id,index,y,x,osmid,highway,ref,lon,lat,geometry
36399631,113,TT_r-2056,36399631,-3756152.384698131,304082.25390358805,36399631,,,150.8804605,-33.927607,POINT (304082.253903588 -3756152.384698131)
1834675945,114,TT_r-2056,1834675945,-3756149.8928881455,304126.6159282781,1834675945,,,150.8809407,-33.92759279999999,POINT (304126.6159282781 -3756149.892888146)
6819027053,115,TT_r-2056,6819027053,-3756146.4996513436,304190.46539234964,6819027053,,,150.8816318,-33.9275741,POINT (304190.4653923496 -3756146.499651344)
286727399,116,TT_r-2056,286727399,-3756144.0239112335,304279.2319747351,286727399,traffic_signals,,150.88259209999998,-33.9275683,POINT (304279.2319747351 -3756144.023911234)
1857227899,117,TT_r-2056,1857227899,-3756137.3782534855,304395.3818917957,1857227899,,,150.8838494,-33.92753,POINT (304395.3818917957 -3756137.378253486)
288323173,118,TT_r-2056,288323173,-3756131.85885833,304499.4851928964,288323173,,,150.88497619999998,-33.927499600000004,POINT (304499.4851928964 -3756131.85885833)
36399633,119,TT_r-2056,36399633,-3756127.548381312,304568.1252419743,36399633,,,150.88571930000003,-33.9274735,POINT (304568.1252419743 -3756127.548381312)
288323548,120,TT_r-2056,288323548,-3756125.220391466,304607.339028387,288323548,,,150.8861438,-33.9274598,POINT (304607.339028387 -3756125.220391466)
6819027052,121,TT_r-2056,6819027052,-3756123.1627488425,304683.5356376457,6819027052,,,150.8869681,-33.9274554,POINT (304683.5356376456 -3756123.162748843)
286726038,122,TT_r-2056,286726038,-3756118.479622405,304792.98358417966,286726038,traffic_signals,,150.8881525,-33.9274335,POINT (304792.9835841797 -3756118.479622405)
288323703,123,TT_r-2056,288323703,-3756116.0307543394,304823.01995662705,288323703,,,150.8884778,-33.927417,POINT (304823.019956627 -3756116.030754339)
300674583,124,TT_r-2056,300674583,-3756115.0411317185,304887.83458085486,300674583,,,150.88917880000002,-33.9274201,POINT (304887.8345808549 -3756115.041131719)
3626149207,125,TT_r-2056,3626149207,-3756109.99951504,304997.0254258334,3626149207,traffic_signals,,150.89036049999999,-33.927394899999996,POINT (304997.0254258334 -3756109.999515039)
176341831,126,TT_r-2056,176341831,-3756108.9765488575,305012.7830540419,176341831,,,150.8905311,-33.9273886,POINT (305012.7830540419 -3756108.976548858)
2296927969,127,TT_r-2056,2296927969,-3756107.6639306033,305021.0431026687,2296927969,,,150.8906207,-33.9273783,POINT (305021.0431026687 -3756107.663930603)
6819027051,128,TT_r-2056,6819027051,-3756100.5827725064,305065.4218638771,6819027051,,,150.89110209999998,-33.927322700000005,POINT (305065.4218638771 -3756100.582772506)
1857228033,129,TT_r-2056,1857228033,-3756097.1956877965,305086.62478197936,1857228033,,,150.8913321,-33.9272961,POINT (305086.6247819794 -3756097.195687796)
36399640,130,TT_r-2056,36399640,-3756093.261967518,305110.67439751193,36399640,,,150.891593,-33.9272651,POINT (305110.6743975119 -3756093.261967518)
36399642,131,TT_r-2056,36399642,-3756070.9520978536,305208.8467295072,36399642,,,150.8926594,-33.9270822,POINT (305208.8467295072 -3756070.952097854)
1857228159,132,TT_r-2056,1857228159,-3756032.4349614996,305374.50943219423,1857228159,,,150.8944591,-33.9267657,POINT (305374.5094321942 -3756032.4349615)
288322854,133,TT_r-2056,288322854,-3756020.474999018,305429.63762461627,288322854,,,150.89505780000002,-33.9266681,POINT (305429.6376246163 -3756020.474999018)
6819027079,134,TT_r-2056,6819027079,-3756014.093593465,305460.0098424253,6819027079,,,150.8953876,-33.9266162,POINT (305460.0098424254 -3756014.093593465)
6819043915,135,TT_r-2056,6819043915,-3755992.7736813724,305552.8301470475,6819043915,,,150.89639590000002,-33.9264412,POINT (305552.8301470475 -3755992.773681373)
36399644,136,TT_r-2056,36399644,-3755991.030423117,305559.3889386493,36399644,,,150.8964672,-33.92642670000001,POINT (305559.3889386493 -3755991.030423117)
6819043923,137,TT_r-2056,6819043923,-3755985.300141925,305585.6218516071,6819043923,,,150.8967521,-33.9263799,POINT (305585.6218516071 -3755985.300141925)
36399646,138,TT_r-2056,36399646,-3755980.0689065633,305611.3285761733,36399646,,,150.8970312,-33.9263375,POINT (305611.3285761733 -3755980.068906563)
2877095129,139,TT_r-2056,2877095129,-3755976.9225833085,305638.1694286609,2877095129,,,150.8973221,-33.9263141,POINT (305638.1694286609 -3755976.922583309)
36399648,140,TT_r-2056,36399648,-3755975.211878439,305655.5964811264,36399648,,,150.89751090000001,-33.9263019,POINT (305655.5964811264 -3755975.211878439)
2877067402,141,TT_r-2056,2877067402,-3755974.28978682,305698.43743570085,2877067402,,,150.89797430000002,-33.9263015,POINT (305698.4374357008 -3755974.28978682)
2877067404,142,TT_r-2056,2877067404,-3755976.2222059183,305736.80484016176,2877067404,,,150.8983887,-33.926326,POINT (305736.8048401618 -3755976.222205918)
36399650,143,TT_r-2056,36399650,-3755977.3865898987,305768.25674541044,36399650,traffic_signals,,150.8987285,-33.926342299999995,POINT (305768.2567454104 -3755977.386589899)
2623299593,144,TT_r-2056,2623299593,-3755977.069192686,305798.9291272206,2623299593,,,150.8990602,-33.9263451,POINT (305798.9291272206 -3755977.069192686)
